area_code,area_name,employed_total,home_or_no_fixed,other_workplace,fixed_workplace,local_fixed,same_area_fixed,outside_liverpool_fixed,local_retention_share,home_or_no_fixed_share,inbound_fixed_workers,accessibility_3km,accessibility_5km,accessibility_10km,mean_local_commute_km
E02001347,Liverpool 001,3656,1295,22,2339,1492,88,847,0.637879435656,0.354212253829,1836,22734.9739956,41928.365675,74228.2494074,4.87458305722
E02001348,Liverpool 002,3243,1260,16,1967,1154,51,813,0.586680223691,0.388529139685,758,22360.8792666,42254.7633357,74851.0384748,5.28456119562
E02001349,Liverpool 003,3823,1593,18,2212,1279,69,933,0.578209764919,0.416688464557,1443,23857.1099977,44474.0589585,77098.2468261,4.97247878493
E02001350,Liverpool 004,3254,1069,19,2166,1385,259,781,0.639427516159,0.328518746159,4134,27961.6469882,48457.4885495,80588.6945693,4.29806392129
E02001351,Liverpool 005,3486,1180,8,2298,1539,254,759,0.669712793734,0.338496844521,10254,34493.2941275,54728.1293742,85340.0558604,3.80808711269
E02001352,Liverpool 006,2732,965,19,1748,1093,70,655,0.62528604119,0.353221083455,1376,29760.1556986,51584.3119295,83488.0950167,4.35385518822
E02001353,Liverpool 007,3603,1537,14,2052,1330,38,722,0.648148148148,0.42658895365,352,21123.5438908,41597.3615081,75177.8112215,5.92778472824
E02001354,Liverpool 008,3300,1109,10,2181,1417,67,764,0.649701971573,0.336060606061,1626,35510.8597221,57600.1757487,88481.5001472,3.96221883323
E02001355,Liverpool 009,2663,995,7,1661,1099,40,562,0.661649608669,0.373638753286,796,34644.837819,57396.0040182,88576.1669905,4.20823981074
E02001356,Liverpool 010,3788,1313,15,2460,1647,62,813,0.669512195122,0.346620908131,815,34345.575043,56681.0683468,88098.6732803,4.12621821272
E02001357,Liverpool 011,2738,904,9,1825,1316,30,509,0.721095890411,0.330168005844,783,37193.7002438,59847.10934,90623.7663727,3.82737877578
E02001358,Liverpool 012,2700,911,11,1778,1182,43,596,0.664791901012,0.337407407407,903,35522.1105057,58417.9057059,89432.9604016,4.02016839987
E02001359,Liverpool 013,2468,969,15,1484,936,13,548,0.630727762803,0.39262560778,500,29083.8219222,51691.9902132,84581.3894771,4.81254786441
E02001360,Liverpool 014,3363,1081,16,2266,1438,139,828,0.634598411297,0.321439191198,3202,36697.0078786,59416.1615802,90101.3904663,3.80133519988
E02001361,Liverpool 015,3074,1151,7,1916,1380,16,536,0.720250521921,0.374430709174,386,40918.3376005,64698.4383933,94881.3381364,3.66843550481
E02001362,Liverpool 016,3303,1329,14,1960,1346,42,614,0.686734693878,0.402361489555,513,38143.6156775,61905.9330691,92952.3612318,3.81970494503
E02001363,Liverpool 017,3188,1133,11,2044,1303,34,741,0.63747553816,0.35539523212,292,25641.1212959,47972.0491524,81678.1509053,4.89936289317
E02001364,Liverpool 018,2323,766,17,1540,1100,67,440,0.714285714286,0.32974601808,895,44038.8391199,67400.4910933,96660.2788054,3.13163559953
E02001365,Liverpool 019,3768,1293,21,2454,1729,63,725,0.70456397718,0.343152866242,900,44785.5379132,68606.9087322,97914.8533858,3.46738799712
E02001366,Liverpool 020,3746,1400,15,2331,1585,69,746,0.679965679966,0.373731980779,1241,42754.2228693,66989.70967,97073.4961427,3.62013202796
E02001367,Liverpool 021,4641,2070,22,2549,1731,87,818,0.679089839153,0.446024563672,1341,35626.3272209,59214.9186322,91042.9257868,4.06976010677
E02001368,Liverpool 022,2778,979,20,1779,1227,90,552,0.689713322091,0.352411807055,2587,43081.1788428,65191.7683682,94234.4054574,3.35840231519
E02001369,Liverpool 023,2999,1038,12,1949,1316,73,633,0.675218060544,0.346115371791,2016,49280.2002179,71454.7050332,99168.135836,2.99903492214
E02001370,Liverpool 024,2318,692,11,1615,1159,67,456,0.717647058824,0.298533218292,1342,49205.6102652,72447.1772695,100579.816142,3.04329255905
E02001371,Liverpool 025,3207,1142,11,2054,1270,45,784,0.618305744888,0.356096039913,506,26569.7038054,49170.0749302,82922.4411229,4.60238112398
E02001372,Liverpool 026,2542,1016,10,1516,1003,164,513,0.661609498681,0.399685287175,7410,33956.9071345,56768.1556758,88984.9329258,4.01665472842
E02001373,Liverpool 027,3981,1473,19,2489,1804,151,685,0.724789071916,0.370007535795,2819,42883.4165365,67159.4092221,97465.8240169,3.33560559555
E02001374,Liverpool 028,3535,1256,7,2272,1565,112,707,0.688820422535,0.355304101839,2747,49037.8401599,72746.3685161,101246.606679,3.12405414183
E02001375,Liverpool 029,3034,1112,28,1894,1369,61,525,0.722808870116,0.366512854318,1873,39949.7391411,64170.0549882,95265.7392657,3.41727664766
E02001376,Liverpool 030,3211,1016,9,2186,1517,56,669,0.693961573651,0.316412332607,804,52008.7038164,74841.7376953,102317.372859,2.99973994627
E02001377,Liverpool 031,3529,1124,15,2390,1672,301,718,0.699581589958,0.318503825446,13980,56467.2470244,77332.1768809,103336.323219,2.52681856243
E02001378,Liverpool 032,3323,1314,12,1997,1452,46,545,0.727090635954,0.395425820042,951,40357.7925391,65065.1663571,96196.5193885,3.6178067274
E02001380,Liverpool 034,3759,1696,11,2052,1395,41,657,0.679824561404,0.451183825486,465,34776.1235191,59248.8001782,91722.8244327,4.03804373346
E02001381,Liverpool 035,3869,1463,6,2400,1808,53,592,0.753333333333,0.378133884725,1462,46184.7513551,70216.0124951,99628.5497777,3.20645220702
E02001382,Liverpool 036,3414,1588,20,1806,1236,21,570,0.68438538206,0.465143526655,366,29997.9256016,53965.9492208,87409.3357634,4.40240998279
E02001383,Liverpool 037,3516,1424,25,2067,1484,104,583,0.717948717949,0.405005688282,2141,51481.839811,72590.5285518,99726.925935,2.69919226156
E02001384,Liverpool 038,3689,1348,14,2327,1694,127,633,0.72797593468,0.365410680401,1616,42887.8433278,67121.7865667,97438.3306678,3.4704578721
E02001385,Liverpool 039,2585,1063,10,1512,1137,86,375,0.751984126984,0.411218568665,775,47297.3742666,70349.6700068,99127.1420861,2.96737236589
E02001386,Liverpool 040,3195,1174,9,2012,1412,157,600,0.701789264414,0.36744913928,1296,21928.5000255,43760.9195216,78129.1126742,4.8227511622
E02001387,Liverpool 041,3780,1917,29,1834,1280,44,554,0.697928026172,0.507142857143,1478,34245.9907218,58551.3458962,91075.9226674,4.13471052508
E02001388,Liverpool 042,3754,1756,8,1990,1364,80,626,0.685427135678,0.467767714438,1858,37475.6047253,61819.8137672,93548.9280562,3.72590875109
E02001389,Liverpool 043,3282,1538,15,1729,1249,26,480,0.722382880278,0.468616697136,765,42979.0879767,66322.5880989,96217.8472239,3.40031952679
E02001390,Liverpool 044,3614,1385,10,2219,1710,128,509,0.770617395223,0.383231876038,1168,42336.6516578,64882.8397696,94602.1508682,3.33979586279
E02001391,Liverpool 045,2321,812,10,1499,1026,67,473,0.684456304203,0.34984920293,474,15440.1667426,34692.634995,68986.6904951,5.67450397951
E02001392,Liverpool 046,2884,1382,17,1485,1007,19,478,0.678114478114,0.47919556172,351,23570.9969763,45680.9128193,79743.5855592,5.17635843625
E02001393,Liverpool 047,3259,1652,23,1584,1006,27,578,0.635101010101,0.506903958269,1505,28458.6859182,51712.5015784,85168.4970052,4.58141370923
E02001394,Liverpool 048,4165,1962,13,2190,1502,62,688,0.685844748858,0.471068427371,1681,35704.5918391,59741.2129262,91719.3559621,4.10297122013
E02001395,Liverpool 049,2943,1471,16,1456,994,47,462,0.682692307692,0.499830105335,991,32513.063069,56478.5579116,89234.8111569,3.92751310671
E02001396,Liverpool 050,3874,1710,16,2148,1597,77,551,0.743482309125,0.441404233351,2025,35267.6699161,58439.2106617,90078.3508211,3.93004504118
E02001397,Liverpool 051,3109,1345,21,1743,1182,86,561,0.678141135972,0.432614988742,1270,21718.1654904,42238.981058,75837.8194092,5.39218864017
E02001398,Liverpool 052,3713,1911,18,1784,1285,40,499,0.720291479821,0.514678157824,870,32015.4138036,55735.2168356,88411.2923349,4.31658689029
E02001399,Liverpool 053,3297,1623,27,1647,1162,39,485,0.705525197328,0.492265696087,499,26603.6240682,49405.5920385,82986.7248753,4.5694479915
E02001400,Liverpool 054,3053,1245,16,1792,1321,48,471,0.737165178571,0.407795610875,1113,24253.7462353,45567.8705637,78960.0029707,4.83427573439
E02001401,Liverpool 055,3778,1546,11,2221,1495,117,726,0.673120216119,0.409211222869,2387,20652.2626969,38426.0582341,70656.6833118,5.39503593449
E02001402,Liverpool 056,4249,2097,16,2136,1508,56,628,0.705992509363,0.493527888915,1082,23582.5584416,45560.764687,79427.01302,5.10080450952
E02001403,Liverpool 057,2928,1093,8,1827,1323,76,504,0.724137931034,0.373292349727,1048,21509.6007846,41757.7096772,75156.9974594,4.75623910259
E02001404,Liverpool 058,3550,1213,5,2332,1657,513,675,0.710548885077,0.341690140845,12432,22024.9572302,36416.2229666,66547.909352,4.76833495934
E02001405,Liverpool 059,3861,1135,15,2711,1860,213,851,0.686093692364,0.293965293965,968,13326.9883358,27020.5365581,57381.8897656,5.47725624877
E02006932,Liverpool 060,4570,1553,22,2995,1833,407,1162,0.612020033389,0.339824945295,11215,55475.9594468,74995.2338618,100708.675884,2.3050614426
E02006933,Liverpool 061,4422,1782,19,2621,1817,267,804,0.693246852346,0.402985074627,10086,48822.2966451,68918.8639363,96339.5590694,3.17677671342
E02006934,Liverpool 062,4018,1789,31,2198,1388,266,810,0.631483166515,0.445246391239,11650,48873.598774,68649.8882564,95830.0367492,2.92369955988
