family,term,estimate,robust_se,p_value,confidence_low,confidence_high
poisson,const,-0.380299312613,0.00752072017201,0,-0.395039653288,-0.365558971938
poisson,log_accessibility_5km,0.0155892290225,0.00853659677929,0.0678255039939,-0.00114219321543,0.0323206512605
poisson,home_or_no_fixed_share,0.00595498604946,0.0062850269269,0.343390293255,-0.00636344036912,0.018273412468
negative_binomial_nb2,const,-0.379710861748,0.00722870616264,0,-0.393878865482,-0.365542858015
negative_binomial_nb2,log_accessibility_5km,0.0170857190426,0.00811306829554,0.0352086651032,0.00118439737921,0.032987040706
negative_binomial_nb2,home_or_no_fixed_share,0.00546444390015,0.00597458650378,0.360394004084,-0.00624553046977,0.0171744182701
negative_binomial_nb2,alpha,0.00250040066542,0.000577723925018,1.50455853158e-05,0.00136808257938,0.00363271875147
binomial_sensitivity,const,0.771566241456,0.000510845789885,0,0.770565002106,0.772567480806
binomial_sensitivity,log_accessibility_5km,0.0481493618717,0.000536196212104,0,0.0470984366073,0.049200287136
binomial_sensitivity,home_or_no_fixed_share,0.0182766271967,0.000427621029525,0,0.0174385053798,0.0191147490136
